,0
TabR-periodic,4.333333333333333
 TabMmini-piecewiselinear,4.833333333333333
MNCA-periodic,6.833333333333333
TabMmini,7.833333333333333
TabM-greedy,9.166666666666666
MLP-periodic,9.5
XGBoost,9.666666666666666
CatBoost,9.833333333333334
LightGBM,10.0
TabM,10.0
MLP-periodicâˆ’lite,10.5
TabM-batch-shared,11.0
MNCA,12.166666666666666
TabR,12.333333333333334
T2G,12.5
MLP-piecewiselinear,13.833333333333334
Excel-plugins,15.0
Trompt,17.333333333333332
moe-sparse-piecewiselinear,17.333333333333332
SAINT,17.5
FT-T,18.166666666666668
AutoInt,19.333333333333332
MLP-Mixer,19.5
ResNet,22.166666666666668
DCN2,24.166666666666668
MLP,24.666666666666668
SNN,25.833333333333332
